FID,MAJORITY
1017,9
1018,9
1019,9
1020,9
1021,13
1022,13
1023,13
1024,13
1025,13
1026,13
1027,13
1028,13
1029,13
1030,13
1031,13
1032,13
1033,13
1034,13
1035,13
1036,9
1037,9
1038,9
1039,9
1040,9
1041,9
1042,9
1043,13
1044,13
1045,13
1046,9
1047,9
1048,9
1049,9
1050,9
1051,9
1052,9
1053,9
1054,5
1055,9
1056,0
1057,13
1058,9
1059,13
1060,13
1061,13
1062,13
1063,13
1064,13
1065,9
1066,9
1067,9
1068,9
1069,9
1070,9
1071,9
1072,0
1073,5
1074,9
1075,9
1076,9
1077,9
1078,9
1079,5
1080,5
1081,5
1082,5
1083,5
1084,9
1085,9
1086,9
1087,5
1088,0
1089,5
1090,9
1091,9
1092,9
1093,9
1094,5
1095,5
1096,5
1097,9
1098,9
1099,9
1100,9
1101,9
1102,10
1103,10
1104,10
1105,5
1106,5
1107,10
1108,9
1109,9
1110,9
1111,5
1112,5
1113,5
1114,5
1115,9
1116,5
1117,5
1118,9
1119,9
1120,9
1121,5
1122,5
1123,5
1124,9
1125,9
1126,9
1127,9
1128,9
1129,9
1130,10
1131,5
1132,9
1133,5
1134,5
1135,10
1136,5
1137,5
1138,5
1139,5
1140,5
1141,5
1142,0
1143,5
1144,9
1145,9
1146,9
1147,9
1148,9
1149,9
1150,9
1151,9
1152,9
1153,9
1154,9
1155,5
1156,5
1157,5
1158,5
1159,5
1160,9
1161,9
1162,9
1163,9
1164,9
1165,9
